"mtry","min_n","tree_depth","learn_rate","loss_reduction","sample_size",".metric",".estimator","mean","n","std_err",".config"
23,6,13,4.49681954285897e-07,7.95910492200126e-09,0.464285470556933,"rmse","standard",1254813.45948489,10,15818.2324941412,"Preprocessor1_Model01"
23,6,13,4.49681954285897e-07,7.95910492200126e-09,0.464285470556933,"rsq","standard",0.711015164488976,10,0.00698490215783571,"Preprocessor1_Model01"
4,6,10,1.56353767414285e-10,0.00367842322671358,0.941511375382543,"rmse","standard",1254963.81231519,10,15819.1103428144,"Preprocessor1_Model02"
4,6,10,1.56353767414285e-10,0.00367842322671358,0.941511375382543,"rsq","standard",0.676618888627281,10,0.0086624046348376,"Preprocessor1_Model02"
24,11,4,0.000296900140464161,2.46994516262309e-06,0.255289036752656,"rmse","standard",1162854.79855111,10,15403.2350330781,"Preprocessor1_Model03"
24,11,4,0.000296900140464161,2.46994516262309e-06,0.255289036752656,"rsq","standard",0.64064080837751,10,0.00855942757517759,"Preprocessor1_Model03"
18,15,11,2.80640995062054e-07,10.0229388951076,0.67093160624383,"rmse","standard",1254869.67990831,10,15818.5806051696,"Preprocessor1_Model04"
18,15,11,2.80640995062054e-07,10.0229388951076,0.67093160624383,"rsq","standard",0.712420486633691,10,0.00693057610533354,"Preprocessor1_Model04"
31,28,14,0.01540458761165,2.69109158357905e-08,0.810822029556148,"rmse","standard",305696.604604816,10,7492.83491914152,"Preprocessor1_Model05"
31,28,14,0.01540458761165,2.69109158357905e-08,0.810822029556148,"rsq","standard",0.785341935428455,10,0.00601526785465556,"Preprocessor1_Model05"
14,39,6,9.40561384530264e-10,0.000133458675865551,0.303033988797106,"rmse","standard",1254963.55683384,10,15819.1094325335,"Preprocessor1_Model06"
14,39,6,9.40561384530264e-10,0.000133458675865551,0.303033988797106,"rsq","standard",0.653189423703725,10,0.00771144820453136,"Preprocessor1_Model06"
7,34,8,6.070523061437e-06,0.270860681449493,0.858864197642542,"rmse","standard",1252989.15527782,10,15812.7966786559,"Preprocessor1_Model07"
7,34,8,6.070523061437e-06,0.270860681449493,0.858864197642542,"rsq","standard",0.674923539590681,10,0.00751391450490989,"Preprocessor1_Model07"
11,23,7,0.00543972337382065,1.62196837023092e-05,0.456153398978058,"rmse","standard",437179.866779065,10,12602.1798748118,"Preprocessor1_Model08"
11,23,7,0.00543972337382065,1.62196837023092e-05,0.456153398978058,"rsq","standard",0.726128053597878,10,0.00644797057977927,"Preprocessor1_Model08"
37,19,1,5.55919307243106e-05,0.0138790799113482,0.133455115028191,"rmse","standard",1238724.08368077,10,15835.4167880188,"Preprocessor1_Model09"
37,19,1,5.55919307243106e-05,0.0138790799113482,0.133455115028191,"rsq","standard",0.27029111883818,10,0.0114047386816548,"Preprocessor1_Model09"
30,30,4,7.37330598813577e-09,7.5187818721507e-10,0.635633116625249,"rmse","standard",1254961.41809218,10,15819.0959612529,"Preprocessor1_Model10"
30,30,4,7.37330598813577e-09,7.5187818721507e-10,0.635633116625249,"rsq","standard",0.624823184281762,10,0.0093508789204274,"Preprocessor1_Model10"
